q160;pays;coexistence_pays;q_objectives_;q_number_themes_;bioag_surv_monitoring_comb;q_related_registration_;q_analysis_techniques_biotest_recodé;q_analysis_techniques_biomolecular_recodé;q_analysis_techniques_biochemical_recodé;nb_analysis_techniques;q_official_formalised_sampling_;q_analyzes_and_interprets_the_data_Officials ;q_analyzes_and_interprets_the_data_Academics;q_analyzes_and_interprets_the_data_Companies;q_analyzes_and_interprets_the_data_Advisers;q_analyzes_and_interprets_the_data_Distributors;q_analyzes_and_interprets_the_data_other;participation_financement_monitoring_nouvelle_version;profil_repondant;q_sampling_locations_randomly;q_sampling_locations_selection_pressure;q_sampling_locations_loss_efficacy;q_sampling_locations_other;q_moyens_collecte_data;q_frequence_publications_res;type_monitoring_par_repondant;coexistence_chiffre;q_nb_participant_choice;q_nb_participant_analysis
K3PZ-JY97;LUXEMBOURG;public_NA_academic;both;6;100;do not know;1;0;0;1;yes;0;1;0;0;0;0;public;Academic;0;0;0;1;NA_electronic;less frequently;Public;2;2;1
K3PZ-JY97;LUXEMBOURG;public_NA_academic;both;5;100;do not know;1;0;0;1;yes;0;1;0;0;0;0;public;Academic;0;0;0;1;NA_electronic;less frequently;Academic;2;2;1
K6GJ-PCYQ;UNITED KINGDOM;public_private_academic;both;18;111;yes;1;1;0;2;do not know;0;0;1;0;0;1;Public+Private;Official;1;0;1;1;NA_NA;not published;Private;3;2;2
KD8P-JRZS;USA;public_private_academic;both;20;100;yes;1;1;0;2;no;0;1;0;0;0;0;Public+Private;Academic;1;1;0;0;paper_NA;during cropping season;Academic;3;1;1
KEGV-4M9Z;SWITZERLAND;public_private_academic;both;;NANANA;yes;1;1;0;2;no;0;0;1;0;0;0;;Official;1;0;1;0;paper_electronic;yearly;Private;3;2;1
KEGV-4M9Z;SWITZERLAND;public_private_academic;frequency of existing resistances;;NANANA;no;1;1;0;2;no;1;1;0;0;0;0;;Official;1;0;1;0;paper_NA;less frequently;Academic;3;1;2
KKQZ-27HN;CANADA;public_private_academic;both;100;10;do not know;1;1;0;2;no;1;1;0;0;0;0;;Academic;1;0;1;0;NA_electronic;less frequently;Academic;3;3;2
KL8Q-FZUN;CHILE;NA_private_academic;both;3;100;no;1;1;0;2;no;0;0;1;1;0;0;Private;Academic;0;1;1;0;paper_electronic;less frequently;Private;2;1;2
KL8Q-FZUN;CHILE;NA_private_academic;both;;100;do not know;1;1;0;2;no;0;1;0;0;0;0;Public+Private;Academic;1;1;1;0;NA_NA;NA;Academic;2;2;1
KMZK-FZS4;AUSTRALIA;NA_private_academic;both;20;10;do not know;1;0;0;1;yes;0;1;0;0;0;0;Private;Academic;1;0;0;0;paper_electronic;yearly;Private;2;2;1
KMZK-FZS4;AUSTRALIA;NA_private_academic;both;20;10;do not know;1;0;0;1;;0;1;0;1;0;0;;Academic;1;0;0;0;paper_electronic;yearly;Academic;2;1;2
KVK4-7W2E;ARGENTINA;public_private_academic;frequency of existing resistances;;NANANA;no;1;0;0;1;no;0;1;0;0;0;0;Academic;Academic;0;0;1;0;NA_NA;yearly;Academic;3;1;1
KWBH-KBSU;CZECH REPUBLIC;public_private_academic;both;15;1;do not know;0;0;0;0;yes;0;1;1;0;0;0;public;Official;0;0;0;0;NA_NA;yearly;Public;3;3;2
KWBH-KBSU;CZECH REPUBLIC;public_private_academic;both;;111;do not know;0;0;0;0;do not know;0;1;0;0;0;0;Academic;Official;0;0;0;0;NA_NA;NA;Academic;3;2;1
L6RB-3HEJ;CROATIA;NA_private_academic;both;16;1;no;1;1;0;2;yes;0;1;0;0;0;0;Academic+Private;Academic;1;0;1;0;paper_NA;less frequently;Academic;2;2;1
L7DQ-NGGM;BRAZIL;public_private_academic;emergence;7;100;yes;1;0;0;1;no;0;1;0;1;0;0;Private;Academic;0;1;1;0;paper_NA;less frequently;Private;3;2;2
L7DQ-NGGM;BRAZIL;public_private_academic;;;NANANA;yes;0;0;0;0;;0;0;0;0;0;0;;Academic;0;0;0;0;NA_NA;NA;Academic;3;;
LNDK-NJJ6;FRANCE;public_private_academic;;;NANANA;;0;0;0;0;;0;0;0;0;0;0;;Company;0;0;0;0;NA_NA;NA;Public;3;;
LNDK-NJJ6;FRANCE;public_private_academic;both;55;110;yes;1;1;0;2;yes;0;0;1;0;0;0;Private;Company;1;1;1;0;paper_electronic;not published;Private;3;3;1
LNDK-NJJ6;FRANCE;public_private_academic;;;NANANA;;0;0;0;0;;0;0;0;0;0;0;;Company;0;0;0;0;NA_NA;NA;Academic;3;;
LSX4-M96Z;URUGUAY;NA_NA_academic;both;1;100;no;1;1;0;2;do not know;0;1;0;0;0;0;Academic;Academic;0;1;1;0;paper_NA;NA;Academic;1;1;1
M6K7-TCSH;CZECH REPUBLIC;public_private_academic;both;15;111;no;1;1;0;2;no;0;1;0;0;0;0;Academic+Private;Academic;0;0;0;1;paper_NA;NA;Public;3;4;1
M9X4-MLA9;SERBIA;NA_NA_academic;emergence;9;10;do not know;1;1;1;3;no;0;1;0;0;0;0;public;Academic;0;0;1;1;paper_NA;less frequently;Academic;1;1;1
MD48-E5PF;ESTONIA;public_NA_research;frequency of existing resistances;3;NANANA;yes;1;1;0;2;no;1;0;0;0;0;0;public;Academic;1;0;0;0;NA_electronic;during cropping season;Public;1;1;1
MLUX-AGCL;JAPAN;public_private_academic;both;;100;no;0;0;0;0;no;0;0;0;0;0;0;Private;Academic;0;0;0;0;NA_NA;not published;Private;3;2;
MLUX-AGCL;JAPAN;public_private_academic;both;;100;no;1;1;0;2;no;1;1;0;0;0;0;Public+Academic;Academic;1;0;1;0;paper_NA;yearly;Public;3;3;2
MLUX-AGCL;JAPAN;public_private_academic;both;;NANANA;no;1;1;0;2;no;0;1;0;0;0;0;Academic;Academic;1;1;1;0;paper_NA;yearly;Academic;3;1;1
N6D3-4H2A;BRAZIL;public_private_academic;;;NANANA;;0;0;0;0;;0;0;0;0;0;0;;Academic;0;0;0;0;NA_NA;NA;Private;3;;
N6D3-4H2A;BRAZIL;public_private_academic;frequency of existing resistances;4;10;yes;1;0;0;1;yes;1;1;1;0;0;0;Public+Private;Academic;0;1;1;0;paper_electronic;less frequently;Public;3;4;3
ND9L-YYR9;BELGIUM;public_private_academic;both;5;111;no;1;0;0;1;no;0;0;0;0;0;0;Public+Private+Academic;Academic;1;0;1;1;paper_NA;NA;Public;3;3;
P8WU-Y28G;SPAIN;public_private_academic;both;7;10;no;1;1;0;2;no;0;0;1;0;0;0;;Academic;0;0;1;0;NA_NA;NA;Private;3;1;1
P8WU-Y28G;SPAIN;public_private_academic;both;2;10;no;1;1;0;2;do not know;0;1;0;0;0;0;public;Academic;0;0;1;0;NA_NA;not published;Academic;3;2;1
PD3E-3PS7;HUNGARY;public_private_academic;emergence;;NANANA;no;1;1;1;3;no;0;1;0;0;0;0;;Official;1;0;1;0;NA_NA;less frequently;Academic;3;1;1
PD3E-3PS7;HUNGARY;public_private_academic;emergence;4;10;no;1;0;0;1;yes;1;0;0;0;0;0;public;Official;1;0;1;0;paper_electronic;during cropping season;Public;3;2;1
PD3E-3PS7;HUNGARY;public_private_academic;do not know;;10;do not know;0;0;0;0;do not know;0;0;0;0;0;0;;Official;0;0;0;0;NA_NA;NA;Private;3;2;
PDEC-64NQ;LATVIA;NA_private_academic;emergence;4;10;yes;1;1;0;2;no;0;1;0;0;0;0;public;Official;0;0;1;0;paper_NA;less frequently;Academic;2;1;1
PDEC-64NQ;LATVIA;NA_private_academic;frequency of existing resistances;11;111;yes;1;1;0;2;yes;0;0;1;0;0;0;Private;Official;0;0;1;0;paper_electronic;yearly;Private;2;1;1
PK9J-5U6Y;DENMARK;public_private_academic;frequency of existing resistances;5;NANANA;yes;0;0;0;0;;0;0;0;0;0;0;;Academic;0;0;0;0;NA_NA;NA;Private;3;3;
PK9J-5U6Y;DENMARK;public_private_academic;both;5;NANANA;yes;1;1;1;3;yes;1;1;1;1;0;0;Public+Private+Academic;Academic;1;1;1;0;NA_NA;yearly;Public;3;2;4
PK9J-5U6Y;DENMARK;public_private_academic;;;NANANA;;0;0;0;0;;0;0;0;0;0;0;;Academic;0;0;0;0;NA_NA;NA;Academic;3;;
PSRR-XLC7;FRANCE;public_private_academic;both;;NANANA;yes;1;1;1;3;do not know;1;0;0;0;0;0;Public+Private;Company;1;0;1;1;NA_NA;less frequently;Public;3;3;1
PSRR-XLC7;FRANCE;public_private_academic;do not know;;NANANA;do not know;0;0;0;0;do not know;0;0;0;0;0;0;;Company;0;0;0;0;NA_NA;NA;Academic;3;;
PSRR-XLC7;FRANCE;public_private_academic;both;1;100;yes;1;0;0;1;no;0;0;1;0;0;0;Private;Company;0;0;1;0;NA_NA;not published;Private;3;1;1
QD9T-DYE5;POLAND;public_private_academic;both;100;NANANA;do not know;0;0;0;0;do not know;0;1;1;0;0;0;public;Academic;0;0;1;0;paper_NA;less frequently;Public;3;3;2
QD9T-DYE5;POLAND;public_private_academic;both;;NANANA;do not know;0;0;0;0;do not know;0;0;0;0;0;0;;Academic;0;0;0;0;NA_NA;NA;Private;3;1;
QU8A-58E8;CYPRUS;NA_NA_academic;both;3;1;no;1;1;0;2;yes;1;0;0;0;0;0;Academic;Official;1;0;0;0;paper_NA;less frequently;Academic;1;2;1
R255-RHLZ;CHILE;NA_private_academic;frequency of existing resistances;9;100;yes;1;1;0;2;no;0;1;0;0;0;0;Public+Private;Academic;1;1;1;0;paper_electronic;during cropping season;Private;2;2;1
R255-RHLZ;CHILE;NA_private_academic;frequency of existing resistances;;100;yes;1;1;0;2;yes;0;1;0;0;0;0;Public+Private;Academic;1;1;1;0;paper_electronic;during cropping season;Academic;2;1;1
RAXA-JPFX;ARGENTINA;public_private_academic;emergence;6;111;no;0;0;1;1;no;0;1;1;0;1;0;Private;Academic;0;1;1;0;NA_NA;during cropping season;Private;3;2;3
RAXA-JPFX;ARGENTINA;public_private_academic;emergence;6;NANANA;yes;1;0;1;2;no;0;1;0;0;0;0;Public+Academic;Academic;0;1;1;0;paper_NA;less frequently;Academic;3;2;1
RE4R-75Q6;ITALY;public_private_academic;frequency of existing resistances;9;10;yes;1;0;0;1;yes;0;1;0;0;0;0;Private;Academic;0;0;1;0;paper_electronic;yearly;Public;3;2;1
RFND-XAGL;FRANCE;public_private_academic;both;;1;no;1;1;1;3;no;0;1;1;0;0;0;;Academic;0;0;1;0;paper_NA;not published;Private;3;1;2
RFND-XAGL;FRANCE;public_private_academic;emergence;3;NANANA;yes;1;1;1;3;yes;1;1;0;0;0;0;;Academic;0;0;1;0;paper_NA;less frequently;Academic;3;1;2
RFND-XAGL;FRANCE;public_private_academic;both;10;1;yes;1;1;0;2;yes;1;1;0;0;0;0;Public+Academic;Academic;0;0;1;0;paper_NA;yearly;Public;3;2;2
RLCL-8MCZ;CAMEROON;NA_private_NA;both;1;100;yes;1;0;0;1;yes;1;0;0;0;0;0;;Academic;0;1;0;0;paper_electronic;not published;Private;1;1;1
RNMG-YFDZ;BELGIUM;public_private_academic;emergence;4;10;no;1;0;0;1;no;0;1;0;0;0;0;;Academic;0;0;1;1;paper_NA;NA;Public;3;1;1
RUGY-YZ72;ROMANIA;public_private_NA;both;2;1;yes;1;0;0;1;yes;1;1;1;1;0;0;;Academic;0;1;0;0;paper_electronic;less frequently;Public;2;3;4
RUGY-YZ72;ROMANIA;public_private_NA;both;2;1;yes;1;0;1;2;yes;0;0;1;1;0;0;;Academic;0;1;1;0;paper_electronic;less frequently;Private;2;3;2
S4ZB-AKE5;GREECE;public_private_academic;both;16;NANANA;no;1;1;1;3;yes;1;1;0;0;0;0;Academic;Academic;1;1;0;0;paper_electronic;less frequently;Academic;3;1;2
SFP2-MNAR;GERMANY;public_private_academic;both;5;10;yes;1;1;0;2;yes;1;0;0;0;0;0;public;Academic;0;0;1;0;paper_NA;yearly;Public;3;3;1
SFP2-MNAR;GERMANY;public_private_academic;both;;NANANA;yes;1;1;1;3;do not know;0;0;1;0;0;0;Private;Academic;0;0;0;0;NA_NA;not published;Private;3;1;1
T3QK-55AM;GERMANY;public_private_academic;both;100;10;yes;1;1;0;2;yes;0;0;0;0;0;0;Public+Private+Academic;Official;1;1;1;1;paper_electronic;NA;Public;3;4;
TGKZ-Q54T;AUSTRALIA;NA_private_academic;frequency of existing resistances;20;10;yes;1;0;0;1;yes;0;1;0;0;0;0;Academic;Academic;1;0;0;0;paper_electronic;yearly;Academic;2;1;1
TGKZ-Q54T;AUSTRALIA;NA_private_academic;both;20;10;yes;1;0;0;1;yes;0;0;1;0;0;0;Private;Academic;0;0;1;0;NA_electronic;during cropping season;Private;2;2;1
TU3B-V2BW;POLAND;public_private_academic;frequency of existing resistances;;NANANA;no;1;0;0;1;do not know;0;1;0;0;0;0;;Official;0;0;1;0;NA_NA;NA;Academic;3;1;1
U3N5-PTBE;IRAN;public_private_academic;both;2;10;do not know;1;1;0;2;yes;0;1;0;0;0;0;;Academic;0;1;1;0;paper_NA;NA;Academic;3;1;1
U7LG-FUW2;FRANCE;public_private_academic;do not know;;NANANA;no;1;0;1;2;no;0;0;0;0;0;0;;Company;0;0;0;0;paper_NA;less frequently;Academic;3;;
U7LG-FUW2;FRANCE;public_private_academic;both;3;10;no;1;0;1;2;yes;1;0;1;1;0;0;Private;Company;0;0;1;0;paper_NA;yearly;Private;3;2;3
UBSZ-G5D9;URUGUAY;NA_NA_academic;both;7;100;do not know;1;1;0;2;no;0;1;0;0;0;0;Academic;Academic;0;1;1;1;paper_NA;other;Academic;1;1;1
UGVC-KQ34;GREECE;public_private_academic;both;7;NANANA;no;1;1;1;3;no;0;1;0;0;0;0;Public+Private;Academic;0;1;0;0;paper_NA;less frequently;Academic;3;2;1
UVWA-HWTQ;DENMARK;public_private_academic;both;16;10;no;1;0;0;1;yes;0;1;0;0;0;0;Public+Private;Academic;0;0;1;1;paper_NA;yearly;Academic;3;1;1
VFCV-TY6J;IRELAND;public_private_academic;both;16;100;no;1;1;0;2;yes;0;1;0;0;0;0;Public+Private;Academic;1;1;1;1;paper_NA;yearly;Public;3;2;1
VGLK-X2MK;GREECE;public_private_academic;both;20;1;no;1;1;0;2;yes;0;1;0;0;0;0;Public+Private+Academic;Academic;1;1;1;1;paper_NA;NA;Public;3;3;1
VUPZ-G5X9;BRAZIL;public_private_academic;both;;NANANA;yes;1;1;1;3;yes;1;1;1;1;1;0;;Academic;1;1;1;0;paper_electronic;during cropping season;Academic;3;1;5
VUPZ-G5X9;BRAZIL;public_private_academic;both;8;1;yes;1;1;1;3;yes;1;1;1;0;0;0;Private;Academic;1;1;1;0;paper_electronic;during cropping season;Private;3;3;3
VUPZ-G5X9;BRAZIL;public_private_academic;both;8;NANANA;yes;1;1;1;3;yes;0;1;1;0;0;0;public;Academic;1;1;1;0;paper_electronic;during cropping season;Public;3;3;2
W889-7TPY;ISRAEL;NA_NA_academic;both;16;10;no;1;1;1;3;yes;0;1;0;0;0;0;Academic;Academic;0;1;1;1;NA_electronic;yearly;Academic;1;1;1
WE75-EEX8;GERMANY;public_private_academic;both;18;10;no;1;0;0;1;no;0;0;0;0;0;0;Private;Academic;0;0;0;1;paper_NA;NA;Public;3;3;
WKJX-DQCG;FINLAND;NA_private_academic;frequency of existing resistances;4;100;;1;1;0;2;yes;0;1;1;1;0;0;Academic;Official;1;1;1;0;paper_NA;yearly;Academic;2;2;3
WUER-DCN4;PORTUGAL;NA_private_academic;emergence;6;10;yes;1;1;0;2;no;0;1;1;0;0;0;Private;Academic;0;0;1;0;NA_NA;less frequently;Private;2;1;2
WUER-DCN4;PORTUGAL;NA_private_academic;both;6;10;yes;1;1;0;2;no;0;1;0;0;0;0;Academic;Academic;0;1;1;0;paper_NA;yearly;Academic;2;2;1
WV9H-9GN2;ITALY;public_private_academic;emergence;;NANANA;do not know;1;0;0;1;yes;0;1;0;0;0;0;Private;Academic;1;0;1;0;paper_NA;not published;Academic;3;2;1
WV9H-9GN2;ITALY;public_private_academic;emergence;;NANANA;do not know;1;0;0;1;yes;0;1;0;0;0;0;;Academic;1;0;1;0;paper_NA;less frequently;Public;3;1;1
WYEG-2ZS9;AUSTRALIA;NA_private_academic;both;;100;do not know;1;1;0;2;yes;0;1;0;0;0;0;Academic;Academic;1;1;1;0;paper_NA;less frequently;Academic;2;1;1
WYEG-2ZS9;AUSTRALIA;NA_private_academic;frequency of existing resistances;;NANANA;do not know;1;0;0;1;yes;0;0;0;0;0;1;Private;Academic;0;1;1;0;paper_NA;not published;Private;2;;1
X4L8-9WNJ;AUSTRALIA;NA_private_academic;both;2;100;do not know;0;1;0;1;no;0;0;1;0;0;0;;Academic;0;1;0;0;NA_NA;less frequently;Private;2;1;1
X4L8-9WNJ;AUSTRALIA;NA_private_academic;both;16;100;do not know;1;1;0;2;no;0;1;0;0;0;0;Academic;Academic;0;0;0;1;paper_NA;during cropping season;Academic;2;1;1
XBYP-F898;UNITED KINGDOM;public_private_academic;both;2;10;yes;1;1;0;2;yes;0;1;0;1;0;0;Public+Private;Company;1;0;1;0;paper_NA;yearly;Private;3;2;2
XBYP-F898;UNITED KINGDOM;public_private_academic;emergence;4;10;;1;1;0;2;yes;1;1;0;0;0;0;Public+Private;Company;1;0;1;0;paper_NA;less frequently;Academic;3;2;2
XC5C-7XBK;FRANCE;public_private_academic;both;20;NANANA;yes;1;1;0;2;no;0;0;1;0;0;0;Private;Company;1;0;1;0;paper_electronic;less frequently;Private;3;1;1
XC9H-N2HJ;FINLAND;NA_private_academic;both;4;10;no;0;0;0;0;no;0;0;1;0;0;0;Private;Other;0;0;0;1;paper_NA;not published;Private;2;1;1
XCVG-M99V;USA;public_private_academic;do not know;;NANANA;do not know;0;0;0;0;do not know;0;0;0;0;0;0;;Academic;0;0;0;0;NA_NA;NA;Private;3;;
XCVG-M99V;USA;public_private_academic;both;;NANANA;no;1;1;0;2;no;0;1;0;0;0;0;;Academic;1;0;1;0;NA_NA;less frequently;Academic;3;2;1
XEQM-5AP7;CZECH REPUBLIC;public_private_academic;both;;NANANA;no;1;0;0;1;no;0;0;0;0;0;0;Public+Private;Official;0;0;1;1;NA_NA;NA;Public;3;2;
XH43-LR3C;URUGUAY;NA_NA_academic;frequency of existing resistances;3;100;no;1;0;0;1;no;0;1;0;0;0;0;Academic;Academic;1;1;1;0;NA_electronic;NA;Academic;1;1;1
XJM7-7TPH;CANADA;public_private_academic;frequency of existing resistances;100;10;yes;1;0;0;1;yes;0;1;0;0;0;0;Private;Official;1;0;0;0;paper_electronic;yearly;Public;3;2;1
XJM7-7TPH;CANADA;public_private_academic;frequency of existing resistances;100;10;yes;1;1;1;3;yes;0;1;0;0;0;0;Public+Private+Academic;Official;1;0;1;0;NA_electronic;less frequently;Academic;3;1;1
XJM7-7TPH;CANADA;public_private_academic;frequency of existing resistances;100;10;yes;1;1;1;3;do not know;0;0;1;0;0;0;Private;Official;0;0;1;0;NA_NA;not published;Private;3;1;1
XKZJ-F456;INDIA;NA_private_academic;both;;NANANA;do not know;1;1;1;3;do not know;0;1;0;0;0;0;;Other;0;0;0;0;NA_NA;less frequently;Academic;2;1;1
YXNM-V9LG;CHILE;NA_private_academic;frequency of existing resistances;1;1;do not know;1;0;0;1;yes;0;1;0;0;0;0;;Academic;1;0;0;0;NA_electronic;not published;Private;2;2;1
YXNM-V9LG;CHILE;NA_private_academic;frequency of existing resistances;2;1;no;1;1;1;3;yes;0;1;0;0;0;0;Academic;Academic;1;1;1;0;NA_electronic;less frequently;Academic;2;1;1
YY4D-U7LX;TURKEY;NA_NA_academic;frequency of existing resistances;2;NANANA;yes;1;1;0;2;no;0;1;0;0;0;0;Academic;Academic;1;0;0;0;paper_NA;less frequently;Academic;1;3;1
Z6VA-3N39;MOROCCO;NA_NA_academic;both;1;NANANA;no;1;0;0;1;no;0;1;0;0;0;0;Academic;Academic;0;0;1;0;paper_NA;less frequently;Academic;1;1;1
ZLBJ-XG56;IRAN;public_private_academic;both;7;10;yes;1;1;1;3;yes;1;0;0;0;0;0;public;Academic;0;1;1;0;paper_NA;yearly;Public;3;1;1
ZLBJ-XG56;IRAN;public_private_academic;both;4;10;no;1;1;1;3;yes;1;1;0;0;0;0;;Academic;1;0;1;0;paper_NA;less frequently;Academic;3;1;2
ZLBJ-XG56;IRAN;public_private_academic;emergence;2;10;do not know;1;0;0;1;do not know;1;0;1;0;0;0;;Academic;0;0;1;0;paper_NA;NA;Private;3;1;2
ZLNY-QYLD;SPAIN;public_private_academic;both;26;10;no;1;1;0;2;no;0;0;0;0;0;1;Public+Academic;Academic;1;0;0;0;paper_NA;yearly;Academic;3;1;1
